,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition,Z1_ActualVelocity,clamp_pressure,Y1_CurrentFeedback,X1_OutputPower,Y1_DCBusVoltage,M1_CURRENT_FEEDRATE,Y1_DiffAcceleration
24893,27.7,326.0,0.11,327.0,1670.0,0.0,2.5,-3.8,0.000675,0.0766,3.0,37.5
9467,27.7,323.0,0.0923,324.0,-1550.0,0.0,4.0,0.888,0.00228,0.0153,12.0,6.25
18381,29.7,325.0,0.0837,327.0,907.0,0.0,3.0,4.0,0.000522,0.0886,3.0,-6.25
5453,27.7,323.0,0.0744,325.0,-1000.0,-0.025,4.0,5.49,0.000719,0.112,6.0,-56.900000000000006
18067,27.7,326.0,0.0889,327.0,1930.0,0.025,3.0,-2.65,0.000598,0.0443,3.0,25.0
735,27.5,324.0,0.0962,326.0,-899.0,0.0,4.0,0.38,0.0012,0.0183,6.0,-12.5
20605,119.0,328.0,0.0202,330.0,-927.0,0.0,3.0,-1.52,-3.3e-06,0.0161,50.0,12.5
22467,55.7,329.0,0.0179,330.0,-1720.0,0.0,2.5,0.0732,2.8e-07,0.0185,50.0,-6.25
8064,55.7,326.0,0.0524,327.0,383.0,0.025,4.0,8.04,2.32e-05,0.0556,50.0,0.0
9405,55.7,326.0,0.0565,327.0,-978.0,0.025,4.0,2.47,4.38e-05,0.023,50.0,-6.25
4667,29.5,324.0,0.0603,326.0,-195.0,0.0,2.5,7.38,0.000382,0.1,6.0,98.04
8234,28.7,323.0,0.102,324.0,-556.0,0.0,4.0,-0.235,0.00315,0.0242,15.0,0.0
1477,119.0,326.0,2.78e-19,325.0,905.0,0.0,4.0,-0.709,1.5e-06,2.69e-19,50.0,0.0
15464,27.7,325.0,0.072,327.0,1700.0,-0.025,4.0,4.76,0.000287,0.0941,3.0,-14.22
24012,55.7,328.0,0.0584,330.0,-1720.0,0.025,2.5,1.15,4.21e-05,0.0325,50.0,0.0
17355,27.7,326.0,0.0554,327.0,230.0,0.0,3.0,0.371,0.000327,0.0199,3.0,-12.5
15160,29.7,325.0,0.0659,327.0,-1990.0,0.0,4.0,1.66,0.000401,0.0187,3.0,0.0
24151,28.7,326.0,0.0588,327.0,1040.0,0.0,2.5,5.71,-1.81e-05,0.0944,3.0,-18.8
1965,119.0,332.0,2.79e-19,328.0,-1160.0,-0.025,4.0,0.685,3.79e-07,2.68e-19,50.0,0.0
4485,29.5,325.0,0.109,326.0,-318.0,0.0,2.5,-4.58,0.00123,0.0825,6.0,26.26
10023,29.5,325.0,0.0933,327.0,-396.0,0.0,4.0,0.755,0.000582,0.0242,3.0,-18.8
6363,29.7,324.0,0.0952,325.0,-251.0,-0.025,4.0,0.371,0.0012,0.018,6.0,0.0
20569,29.7,325.0,0.13,326.0,-870.0,0.0,3.0,-0.792,0.00531,0.0421,20.0,80.4
6841,119.0,326.0,0.0223,327.0,306.0,0.0,4.0,1.02,-1.79e-06,0.0163,50.0,12.5
17272,27.7,326.0,0.0765,327.0,534.0,0.0,3.0,0.404,0.000469,0.0315,3.0,6.25
6796,119.0,326.0,0.0208,327.0,-1220.0,0.0,4.0,-0.567,7.34e-07,0.0205,20.0,18.8
6148,28.7,323.0,0.108,324.0,-1860.0,0.025,4.0,-2.6,0.00135,0.0406,6.0,12.5
9952,119.0,329.0,0.0212,330.0,-1960.0,0.0,4.0,0.714,-2.51e-06,0.0181,50.0,25.0
